taskid,category,question,answer,option_1,option_2,option_3
P000,practice,France,Paris,Warsaw,Dodoma,Paris
P001,practice,United Kingdom,London,Caracas,Nairobi,London
P002,practice,United States,Washington,Manama,Washington,Oslo
P003,practice,Russia,Moscow,Pretoria,Moscow,Tallinn
P004,practice,Mexico,Mexico City,Belmopan,Libreville,Mexico City
P005,practice,Japan,Tokyo,Kigali,Tokyo,Lisbon
P006,practice,Germany,Berlin,Honiara,Berlin,Roseau
P007,practice,Israel,Jerusalem,Jerusalem,Vienna,Dushanbe
T008,task,Afghanistan,Kabul,Canberra,Kabul,Buenos Aires
T009,task,Albania,Tirana,Tirana,Riyadh,Addis Ababa
T010,task,Algeria,Algiers,Beirut,Mbabane,Algiers
T011,task,Andorra,Andorra la Vella,Andorra la Vella,Phnom Penh,Lima
T012,task,Angola,Luanda,Jerusalem,Tbilisi,Luanda
T013,task,Antigua and Barbuda,Saint John's,Lisbon,Saint John's,Nassau
T014,task,Argentina,Buenos Aires,Port-au-Prince,Tbilisi,Buenos Aires
T015,task,Armenia,Yerevan,Yerevan,Apia,San Salvador
T016,task,Australia,Canberra,Kigali,Canberra,Muscat
T017,task,Austria,Vienna,San José,Vienna,Minsk
T018,task,Azerbaijan,Baku,Baku,Vilnius,Praia
T019,task,Bahamas,Nassau,Nassau,Rabat,Riyadh
T020,task,Bahrain,Manama,Manama,Stockholm,Porto-Novo
T021,task,Bangladesh,Dhaka,Seoul,Port-au-Prince,Dhaka
T022,task,Barbados,Bridgetown,Roseau,Santo Domingo,Bridgetown
T023,task,Belarus,Minsk,Minsk,Funafuti,Santiago
T024,task,Belgium,Brussels,Port Vila,Kuala Lumpur,Brussels
T025,task,Belize,Belmopan,Buenos Aires,Antananarivo,Belmopan
T026,task,Benin,Porto-Novo,Washington,Porto-Novo,Reykjavík
T027,task,Bhutan,Thimphu,Cairo,Manila,Thimphu
T028,task,Bolivia,Sucre,N'Djamena,Ngerulmud,Sucre
T029,task,Bosnia and Herzegovina,Sarajevo,Bucharest,Kathmandu,Sarajevo
T030,task,Botswana,Gaborone,Baku,Gaborone,Bogotá
